,id_produto,categoria,peso,altura,comprimento,largura,cat_bin,cat_bin_desc
37,bfc1d1c62b1f7f401d8d9dda962bb870,esporte_lazer,950.0,15.0,60.0,15.0,0,PESSOA
38,94080f9219044d897195e2be145945dc,automotivo,921.0,9.0,17.0,16.0,1,CASA
39,3e9b58f1436820c248d3f98d7229bb14,relogios_presentes,250.0,11.0,16.0,11.0,0,PESSOA
40,e586ebb6022265ae1eea38f46ffe3ead,beleza_saude,1050.0,21.0,18.0,27.0,0,PESSOA
41,be1be330cf34043d1c40d6114cbd11b5,relogios_presentes,317.0,13.0,19.0,16.0,0,PESSOA
42,75b4372e69a42f8ae1d908c076f547b2,beleza_saude,938.0,22.0,29.0,23.0,0,PESSOA
43,3569d4374a919941a50f57371b1dc93d,beleza_saude,2700.0,16.0,21.0,31.0,0,PESSOA
44,a3c95dc653d9a279b160bc0179385ed1,cama_mesa_banho,1750.0,18.0,30.0,30.0,1,CASA
45,32ee3f4e2493045726807808d7abbab6,cama_mesa_banho,1400.0,9.0,38.0,27.0,1,CASA
46,c2367eda4f9623d0355dc5d7796d857a,cama_mesa_banho,6450.0,10.0,100.0,11.0,1,CASA
47,7f34b85142d1ef9e077a0da9ada27385,moveis_decoracao,2300.0,3.0,105.0,70.0,1,CASA
48,c478b1bbf9ec8c5691f37ccb83187386,informatica_acessorios,300.0,8.0,25.0,18.0,0,PESSOA
49,f9ecf420c38b90a8af8e7f70fd789264,esporte_lazer,600.0,10.0,50.0,12.0,0,PESSOA
50,3a6a0247ced9dcb444b46caafdcdd368,beleza_saude,3600.0,20.0,20.0,20.0,0,PESSOA
51,adf591c625cb265c12bc6749d3a2f757,beleza_saude,150.0,24.0,20.0,33.0,0,PESSOA
52,3e0f398b664b26e3224c79dbf435191f,esporte_lazer,400.0,4.0,16.0,11.0,0,PESSOA
53,64c8f1a52b407d92518a1f8b79240a70,telefonia,100.0,6.0,18.0,11.0,0,PESSOA
54,af16005fca813272caf59c432153949e,moveis_decoracao,800.0,8.0,53.0,20.0,1,CASA
55,e6a1ff3552ba3305c1cf0a4dde50347f,automotivo,5250.0,19.0,47.0,23.0,1,CASA
56,d8a405c732027a2af3187b031890933d,automotivo,200.0,4.0,35.0,26.0,1,CASA
57,ce94e3c41145e28428cdae952a1fd7f2,relogios_presentes,335.0,11.0,17.0,12.0,0,PESSOA
58,3f0f8de616df6efb39a48f3c64eea974,cama_mesa_banho,1300.0,12.0,50.0,12.0,1,CASA
59,6ddc95e87149457c4c5177b0a474a9ba,moveis_decoracao,150.0,2.0,35.0,25.0,1,CASA
60,a2e2851eae0aebb8ee4df32348b42e2b,informatica_acessorios,367.0,4.0,16.0,11.0,0,PESSOA
61,723f62c36c298037716bf60c0ad0df3a,relogios_presentes,250.0,2.0,16.0,11.0,0,PESSOA
62,b2b3503e675abbc07e278151da072ed2,moveis_decoracao,8500.0,25.0,75.0,55.0,1,CASA
63,e7cad5e8ed9b92e788262ad710c33bd0,esporte_lazer,150.0,5.0,16.0,11.0,0,PESSOA
64,c33d78b97260227119fb2b71be168fca,cama_mesa_banho,650.0,10.0,27.0,22.0,1,CASA
65,67bea89008edcb996cfe4e3d062b62a8,utilidades_domesticas,1200.0,22.0,23.0,16.0,1,CASA
66,c12b64bf0861a27e0f06c36ef82f457d,esporte_lazer,150.0,6.0,16.0,11.0,0,PESSOA
67,2be2be0a6a5916840503fdf50808ebcb,utilidades_domesticas,600.0,6.0,36.0,19.0,1,CASA
68,8efa775719397f78f79c8e5c7b0afbd4,moveis_decoracao,1000.0,18.0,30.0,18.0,1,CASA
69,9e87e3ee09baee5f5c0513ff37bc60ab,cama_mesa_banho,1550.0,8.0,43.0,33.0,1,CASA
70,a0abcee0132a5aed003d98e459b37698,cama_mesa_banho,2700.0,13.0,45.0,35.0,1,CASA
71,7f6308ba4057a6a740af7b4dcfb79c13,telefonia,200.0,5.0,19.0,11.0,0,PESSOA
72,712a72a78ffb66cb6eee87eebbf54519,esporte_lazer,400.0,22.0,45.0,43.0,0,PESSOA
73,c190c4fe582c5b7ffff586506de83f01,moveis_decoracao,250.0,14.0,26.0,14.0,1,CASA
74,f908df99196805b5bc4ada9ef510b11b,esporte_lazer,1950.0,15.0,60.0,15.0,0,PESSOA
75,ac5bae85a895724330c4acddd581b02b,telefonia,500.0,15.0,16.0,11.0,0,PESSOA
76,ad67f74682943e3857eebf3ca2538d1a,cama_mesa_banho,1800.0,9.0,41.0,34.0,1,CASA
77,bb09cce52b336261572a5a7e25a33795,utilidades_domesticas,550.0,25.0,16.0,12.0,1,CASA
78,f2396540fbfac27b5117f0dbd6744b50,cama_mesa_banho,3600.0,20.0,40.0,40.0,1,CASA
79,0075c14603d80515e20908c156ceb47b,esporte_lazer,150.0,18.0,16.0,16.0,0,PESSOA
80,5a42f73d92034010a4e00360fb0df099,esporte_lazer,3775.0,13.0,18.0,16.0,0,PESSOA
81,87fb220044e9aca16fbec51c6c997aa0,relogios_presentes,250.0,12.0,20.0,20.0,0,PESSOA
82,484bf1dff778a416389aafd0dee1cb11,brinquedos,350.0,9.0,21.0,16.0,0,PESSOA
83,8d6cb00151d423c52855385c89f0bae8,automotivo,27100.0,50.0,50.0,50.0,1,CASA
84,e0bbe6292471ff5ab3752414baf78111,relogios_presentes,500.0,11.0,16.0,11.0,0,PESSOA
85,dd768d259ee6054e0dadd66c8e2be0b6,cama_mesa_banho,350.0,10.0,16.0,16.0,1,CASA
86,fc2edee55f4118969f4dc49f7a717605,automotivo,500.0,12.0,16.0,17.0,1,CASA
87,b521fddf2c8a7e7d1791bfb3c1b2f278,esporte_lazer,1000.0,20.0,20.0,20.0,0,PESSOA
88,db7e6804f1a8206a7e51c9a741a09d9e,brinquedos,300.0,11.0,24.0,24.0,0,PESSOA
89,50556c630443502c11acde1c320fe278,beleza_saude,250.0,2.0,16.0,20.0,0,PESSOA
90,88d2c501ec765f5d7e8038fa6aab0e62,beleza_saude,10700.0,40.0,40.0,40.0,0,PESSOA
91,722fb67c17907e21734449c091420bf5,utilidades_domesticas,1700.0,21.0,32.0,22.0,1,CASA
92,1ffe365aa7583189e63f2fa4f060b269,esporte_lazer,5200.0,60.0,20.0,35.0,0,PESSOA
93,3014e35fd70fce29095ced5cdc89f4ce,telefonia,125.0,10.0,17.0,14.0,0,PESSOA
94,a1b3a75aaaee5c9a683f2266c088f720,relogios_presentes,350.0,11.0,16.0,11.0,0,PESSOA
95,7fdbc1ecf5fdf5c98d9b14e110133eb3,esporte_lazer,213.0,10.0,16.0,13.0,0,PESSOA
96,1cf39a397efa955b102a52ee7ec5531c,automotivo,18200.0,15.0,56.0,15.0,1,CASA
97,f9471562478eba8761bc985b968a0092,utilidades_domesticas,850.0,21.0,18.0,15.0,1,CASA
98,c7147724cd430269c6296fc758c0a086,utilidades_domesticas,300.0,15.0,16.0,11.0,1,CASA
99,dbb399a8be7395d5b136d49fcdce13df,informatica_acessorios,200.0,9.0,23.0,13.0,0,PESSOA
100,ed46d1fbd7bf78ce79910c09fb892abb,esporte_lazer,800.0,25.0,20.0,25.0,0,PESSOA
101,596363933adf57df745ecbc8afeec226,esporte_lazer,698.0,10.0,46.0,14.0,0,PESSOA
102,4473f3e5c65952b074ef987fa5c24662,telefonia,350.0,4.0,17.0,12.0,0,PESSOA
103,8e71b24c3e25a92fef6176120a67fac7,informatica_acessorios,783.0,13.0,21.0,28.0,0,PESSOA
104,19502a282608c5627fb32e22724727fc,brinquedos,11650.0,30.0,55.0,30.0,0,PESSOA
105,657491063e8a63247a108a4d9cedf020,brinquedos,3050.0,10.0,40.0,40.0,0,PESSOA
106,a388f2043ca885de714453e4fac616e2,telefonia,100.0,3.0,16.0,11.0,0,PESSOA
107,a85543a371d5cfafedb80a8177a692b5,utilidades_domesticas,750.0,14.0,34.0,24.0,1,CASA
108,9aa70106d14b83c7ad033592870b2b30,utilidades_domesticas,530.0,20.0,17.0,20.0,1,CASA
109,42fe4aefc7e8a45dd96a59af81dd3fef,automotivo,1300.0,20.0,20.0,20.0,1,CASA
110,224703229a7c966a5b191651e1561be2,esporte_lazer,8150.0,20.0,20.0,20.0,0,PESSOA
111,b29ca3d3127057c43ef4b364bbe360ea,beleza_saude,1150.0,25.0,20.0,20.0,0,PESSOA
112,5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,200.0,2.0,16.0,11.0,0,PESSOA
113,55610b8b7d48294e69fc23f513dfbe98,moveis_decoracao,400.0,20.0,16.0,16.0,1,CASA
114,68bfdbfe84f03af17733b10362f10020,moveis_decoracao,600.0,12.0,29.0,23.0,1,CASA
115,a5bc1334f1762ce0a844f3f694dc08e1,cama_mesa_banho,1200.0,10.0,16.0,16.0,1,CASA
116,73b499a2f5002c0a2158a478cc5a096c,utilidades_domesticas,1800.0,12.0,50.0,36.0,1,CASA
117,42f14eda412436b96cde4f4025ed5f25,esporte_lazer,500.0,2.0,16.0,11.0,0,PESSOA
118,280c05c66173c2b377f3e449e33abc6d,brinquedos,400.0,7.0,35.0,35.0,0,PESSOA
119,c45a1de8cdb00af9ba1f3c097561b77a,cama_mesa_banho,1000.0,10.0,30.0,25.0,1,CASA
120,04869307f7e7dc5b07f1d83406ade1e5,brinquedos,3305.0,36.0,38.0,19.0,0,PESSOA
121,21db47f6493b06e8e7fc562ec9890e77,informatica_acessorios,300.0,5.0,35.0,25.0,0,PESSOA
122,f4d705aa95ccca448e5b0deb6e5290ba,cama_mesa_banho,250.0,2.0,20.0,15.0,1,CASA
123,21d325f98c6505a72b1bcf363f3d3f88,brinquedos,1250.0,19.0,29.0,22.0,0,PESSOA
124,e07f6e9343cad06f34d0a7a09eeac4d7,beleza_saude,667.0,16.0,17.0,16.0,0,PESSOA
125,80fc21f90a43fdcfc623f11f5457db10,relogios_presentes,267.0,11.0,17.0,12.0,0,PESSOA
126,9cafef108028ea326352e901a8b729a7,cama_mesa_banho,1750.0,20.0,45.0,40.0,1,CASA
127,dd783a33bc94bef9c728611320d559e7,beleza_saude,150.0,12.0,16.0,11.0,0,PESSOA
128,ec019a7e1feb42072e2a07b6317c7edb,brinquedos,10550.0,7.0,65.0,45.0,0,PESSOA
129,20424e1f503b9ceeeee60b717b11ec36,utilidades_domesticas,1725.0,35.0,100.0,16.0,1,CASA
130,40a75445dcf4958b8c9b3dac6898094b,esporte_lazer,400.0,16.0,34.0,16.0,0,PESSOA
131,d801448d8cf48fd15a66dc8779d47241,relogios_presentes,267.0,11.0,17.0,13.0,0,PESSOA
132,d1fbb5683c8e93f314d0f2bf40d07761,cama_mesa_banho,1500.0,12.0,39.0,25.0,1,CASA
133,58bef3ad35aed45b92cf03510e6cf5ce,esporte_lazer,1300.0,32.0,31.0,31.0,0,PESSOA
134,532d7f19b8005e415f5b98a1cf4a8690,utilidades_domesticas,400.0,10.0,16.0,14.0,1,CASA
135,c752f2bc46ad4b389290cf5828a1db62,beleza_saude,650.0,13.0,25.0,14.0,0,PESSOA
136,54910b8287ecea5f93a008ebfa94a15c,cama_mesa_banho,4850.0,5.0,75.0,50.0,1,CASA
137,ecaae002060173ec59f5b168cbd55d70,automotivo,825.0,24.0,20.0,15.0,1,CASA
138,9e48435521202c8795e21ac42efcc761,informatica_acessorios,600.0,3.0,46.0,15.0,0,PESSOA
139,f46c384460008df0071849d01b39834f,esporte_lazer,700.0,9.0,23.0,11.0,0,PESSOA
140,4fe53f6c123977ffa0dda91a2962c9e8,moveis_decoracao,300.0,10.0,40.0,27.0,1,CASA
141,7aeb83cae61b0e94e6426cba2598ad9e,utilidades_domesticas,1270.0,14.0,17.0,17.0,1,CASA
142,93c285dad77a797cf2193ead6afbe107,utilidades_domesticas,1800.0,7.0,25.0,20.0,1,CASA
143,1ba7948f3aa31cdaf78a4885f3c5385a,brinquedos,1220.0,33.0,20.0,22.0,0,PESSOA
144,6a61a5d77a8571a0646e8c0f75f572f4,beleza_saude,360.0,19.0,30.0,22.0,0,PESSOA
145,d394d30215872be4cda2c67c1ce5b981,esporte_lazer,250.0,20.0,20.0,20.0,0,PESSOA
146,b166907a5770631b7deedd0891b1b7ab,utilidades_domesticas,1100.0,5.0,55.0,40.0,1,CASA
147,a18a23a783fb7576a8f0f6fbc2ae2b58,beleza_saude,175.0,22.0,18.0,16.0,0,PESSOA
148,e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,675.0,24.0,22.0,21.0,0,PESSOA
149,71c808620fa8dafbe6cd6c638cc67567,esporte_lazer,200.0,5.0,26.0,20.0,0,PESSOA
150,a1bf559ac1eab015ba992bd76d9d76c7,informatica_acessorios,200.0,2.0,39.0,30.0,0,PESSOA
151,eca3036ef7ba11b3331c334b7053fe13,telefonia,117.0,4.0,19.0,12.0,0,PESSOA
152,23ab7bb9eac81e85ec43ed71064cf7ce,cama_mesa_banho,550.0,10.0,16.0,16.0,1,CASA
153,1ec5373950b7877c5de483a123223810,esporte_lazer,3700.0,20.0,30.0,20.0,0,PESSOA
154,34607082301052079a3bffcd12c5ecfb,utilidades_domesticas,3150.0,17.0,30.0,30.0,1,CASA
155,4ceab0364ce2bef8363b89f4719bbff7,cama_mesa_banho,2100.0,27.0,53.0,40.0,1,CASA
156,3c883b9d3fd2d0ce448d4136349dc0a4,cama_mesa_banho,550.0,15.0,23.0,23.0,1,CASA
157,98d0e0ca6213edc063889593a2475e36,automotivo,13825.0,35.0,70.0,49.0,1,CASA
158,f2c1df0fc307ec60e3321c708c1dcac3,cama_mesa_banho,850.0,6.0,40.0,50.0,1,CASA
159,15cd31f93b25e5a517f05b1af31d353f,brinquedos,400.0,20.0,20.0,20.0,0,PESSOA
160,37dffde0476450e75dae423136954b0f,automotivo,250.0,20.0,20.0,20.0,1,CASA
161,d68bd4dedccc5545b1ff6629de8fb021,informatica_acessorios,1950.0,11.0,17.0,12.0,0,PESSOA
162,e4c0d69bafff0157f574aae9a147a8c1,moveis_decoracao,300.0,10.0,35.0,25.0,1,CASA
163,b6b4ab44d1f3c2a645abbda76af2a993,relogios_presentes,1050.0,45.0,30.0,11.0,0,PESSOA
164,d19d6968c8fa843da04bf9c9d23c312f,automotivo,400.0,7.0,16.0,11.0,1,CASA
165,c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,150.0,16.0,16.0,11.0,0,PESSOA
166,d10abea506594de1dd5ea21851f94062,beleza_saude,700.0,16.0,16.0,16.0,0,PESSOA
167,aba0932cedf32b2a7b6b832f11769613,beleza_saude,2000.0,12.0,30.0,16.0,0,PESSOA
168,2e511b5741ab14e7f5294df6f1310b03,informatica_acessorios,188.0,16.0,20.0,15.0,0,PESSOA
169,74f250adf8f41738ca96718232a41499,moveis_decoracao,300.0,30.0,16.0,20.0,1,CASA
170,1ce0e963805e3c170485768e8b09fe65,moveis_decoracao,800.0,25.0,25.0,25.0,1,CASA
171,a530b23a71594d0d986a30359e207762,moveis_decoracao,1400.0,12.0,65.0,12.0,1,CASA
172,d294bd539d8c70342149beb38b767afc,relogios_presentes,650.0,11.0,13.0,12.0,0,PESSOA
173,3da6f3c6c1ac8c36ff45b1a493a44e82,moveis_decoracao,3000.0,11.0,69.0,11.0,1,CASA
174,26d114f0b4f14f5e3b3db0e211019777,moveis_decoracao,17400.0,35.0,42.0,42.0,1,CASA
175,599e5320aef0c7dd9e3fed9b2f673d41,informatica_acessorios,700.0,20.0,20.0,20.0,0,PESSOA
176,4da06dee0a480b5d666886ea00b4d9b3,cama_mesa_banho,250.0,3.0,32.0,23.0,1,CASA
177,3d1e658dd7dc71b44b125bdd18236fb3,moveis_decoracao,350.0,8.0,68.0,13.0,1,CASA
178,bb31a27a0b24236c8ce7e0c6264c51ec,telefonia,100.0,3.0,19.0,11.0,0,PESSOA
179,99a5e7a2c16478ff3f0ea9c20eb2820f,automotivo,550.0,21.0,16.0,18.0,1,CASA
180,8a2d3285de64b2117fbf83784acd09fc,automotivo,250.0,27.0,16.0,15.0,1,CASA
181,fdac82e439dafa5f87a9547581532380,automotivo,1000.0,40.0,26.0,20.0,1,CASA
182,b3f29e4bbae3c829f7c4231074c307ee,utilidades_domesticas,14850.0,102.0,35.0,35.0,1,CASA
183,8d51190d4e52d32e6abf3d0551501114,telefonia,200.0,4.0,19.0,11.0,0,PESSOA
184,10d43b23591dde746f32fe6a7beb5bfb,beleza_saude,150.0,3.0,22.0,15.0,0,PESSOA
185,b0cd550945da1de6eb9cb69595d540df,esporte_lazer,900.0,16.0,16.0,16.0,0,PESSOA
186,ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,1450.0,10.0,45.0,15.0,1,CASA
187,454157d7294823cc44ad21d4fe31474a,esporte_lazer,200.0,11.0,16.0,11.0,0,PESSOA
188,f0737b524fe6b57f2ad4f174ce23a62c,esporte_lazer,12600.0,10.0,20.0,20.0,0,PESSOA
189,bc4a074ab7a7ff14e98fa64671a79dc0,beleza_saude,1450.0,25.0,25.0,16.0,0,PESSOA
190,e84fb20fe338824c220166d3cd562cbd,beleza_saude,150.0,3.0,22.0,15.0,0,PESSOA
191,0d8c64a12c0e49b2515674c031b965a1,moveis_decoracao,2200.0,20.0,20.0,20.0,1,CASA
192,debefa981200019b8c4a45d0176125a6,cama_mesa_banho,2200.0,11.0,42.0,36.0,1,CASA
193,e117ca2a90cfd40b93450b0b60f834e4,cama_mesa_banho,1800.0,10.0,45.0,34.0,1,CASA
194,3d649f0e12c7b5f9ec7e00f538cc13f3,beleza_saude,300.0,18.0,16.0,16.0,0,PESSOA
195,c354569eefd558bf201d0aedf35608ed,cama_mesa_banho,700.0,4.0,49.0,50.0,1,CASA
196,7f383ce1a13d3d90e3d6074557ee8deb,telefonia,200.0,13.0,17.0,16.0,0,PESSOA
197,457c5f8a59156ce6315753d8d788a16a,relogios_presentes,200.0,2.0,16.0,11.0,0,PESSOA
198,3eb0cd17f2bfe15716e113962806a5de,cama_mesa_banho,1000.0,7.0,30.0,24.0,1,CASA
199,a1e9b0d76a76ff474f4a4374fcfb8c42,esporte_lazer,1800.0,12.0,28.0,18.0,0,PESSOA
200,1dfb36d969d347f56f43590ec42c7b8c,esporte_lazer,900.0,6.0,26.0,13.0,0,PESSOA
201,ae728f68e1fe806253238e93f2bfc324,esporte_lazer,415.0,19.0,19.0,19.0,0,PESSOA
202,a1d17216996bf0cbba886f91bfd31c77,telefonia,103.0,6.0,21.0,14.0,0,PESSOA
203,22776ebd2bfdf5f55499fd324862a673,automotivo,500.0,8.0,20.0,14.0,1,CASA
204,c72a1a8c3bbe15206d1880cedc7bd791,informatica_acessorios,4750.0,22.0,18.0,30.0,0,PESSOA
205,f14aa2ba817ef24ccf7f99c0ccfab59a,relogios_presentes,263.0,15.0,18.0,16.0,0,PESSOA
206,b97114b2893e68400ae867459b491bcd,cama_mesa_banho,360.0,6.0,36.0,26.0,1,CASA
207,769cc5a32d4e6c7710013f35a73d45e9,esporte_lazer,1100.0,5.0,32.0,30.0,0,PESSOA
208,0417855683de23ba1e20e8a358a5ac7c,automotivo,1475.0,9.0,68.0,35.0,1,CASA
209,11dc4053871ff53ff79fb1fc7e6b160f,esporte_lazer,1600.0,7.0,100.0,11.0,0,PESSOA
210,8729e9bc4b7f0422448d80ed35ae329d,beleza_saude,1650.0,30.0,25.0,20.0,0,PESSOA
211,eced39e6c33db4b865ea46d12dde67d8,brinquedos,650.0,10.0,35.0,15.0,0,PESSOA
212,bad5bc36e62c12c840045474c6dbe021,utilidades_domesticas,900.0,34.0,21.0,34.0,1,CASA
213,afce90df29b9a0c1bfe5e1033f1197b1,telefonia,75.0,3.0,19.0,11.0,0,PESSOA
214,fa9cf28beaafe4f4bec59550f6c76481,moveis_decoracao,400.0,6.0,35.0,15.0,1,CASA
215,0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,553.0,9.0,18.0,15.0,1,CASA
216,334995514673fb6bae67885458b52984,utilidades_domesticas,250.0,25.0,25.0,25.0,1,CASA
217,288d91794eb2b14fed9ed5e469cb87c3,cama_mesa_banho,1100.0,10.0,16.0,16.0,1,CASA
218,f72379337062680ca5a2b7b0275913d8,moveis_decoracao,2050.0,22.0,30.0,18.0,1,CASA
219,24f9f99148480cd31288ed4e7d962e15,moveis_decoracao,850.0,11.0,69.0,11.0,1,CASA
220,4c505e52bedf9651c08793647c925e65,cama_mesa_banho,350.0,10.0,16.0,16.0,1,CASA
221,c23381297fa734ea441a15d723199fb5,informatica_acessorios,200.0,20.0,20.0,20.0,0,PESSOA
222,8b6a57fbcf171e0a44f97af7af858939,informatica_acessorios,617.0,14.0,17.0,17.0,0,PESSOA
223,78bd107dbc2f94f453c1bac8d2b4ede1,utilidades_domesticas,2600.0,41.0,16.0,41.0,1,CASA
224,c8a0fe4fb537a7864e6aca0477a6da9c,cama_mesa_banho,2000.0,16.0,49.0,39.0,1,CASA
225,6bb81626d06fafb4d7eab61ac9ed70c6,beleza_saude,266.0,8.0,20.0,18.0,0,PESSOA
226,9339df4b551cc289617ed742b9af7925,telefonia,200.0,4.0,19.0,11.0,0,PESSOA
227,76fffd0056ad48fbddac939c05e05cff,relogios_presentes,200.0,2.0,16.0,20.0,0,PESSOA
228,15571dce56ff7d152dab99a0bc8354d5,esporte_lazer,482.0,11.0,18.0,16.0,0,PESSOA
229,c571bd52d56c393e52b38a593da5950f,cama_mesa_banho,550.0,10.0,16.0,16.0,1,CASA
230,2efbce46d36d9af306d4300db163b276,beleza_saude,270.0,16.0,16.0,15.0,0,PESSOA
231,a453b4ccccf554efba31d5ada5a59a60,telefonia,300.0,4.0,17.0,12.0,0,PESSOA
232,2068e3435a38f6a3cc95ba89a96378ab,automotivo,3300.0,20.0,35.0,20.0,1,CASA
233,c5c66926b3f964b8cf9e7dfb1150d13e,esporte_lazer,200.0,9.0,21.0,13.0,0,PESSOA
234,068ceaa8a3d9d385cbf53d5335f89f80,utilidades_domesticas,1200.0,18.0,27.0,23.0,1,CASA
235,a7b42937ab954b0e03bcf6cc35209940,esporte_lazer,250.0,10.0,16.0,16.0,0,PESSOA
236,fea2f92877b647dc07ea8e3f4aa2cf3f,brinquedos,7400.0,29.0,45.0,53.0,0,PESSOA
237,a8bb7885faf316d9a5062d42d2b2fba4,esporte_lazer,875.0,26.0,40.0,20.0,0,PESSOA
238,63f52009dc3ddb733394e80183aed0f0,moveis_decoracao,700.0,7.0,35.0,27.0,1,CASA
239,62224b433a431310bf27129938ad9f64,esporte_lazer,700.0,12.0,49.0,27.0,0,PESSOA
240,b2083bcfc8768380dd0e31d612e96d08,cama_mesa_banho,1100.0,10.0,16.0,16.0,1,CASA
241,7e437c1d65a7baab7e7ca6c9f4e98b84,beleza_saude,2150.0,32.0,28.0,11.0,0,PESSOA
242,012dd0e1c1f14325ee35f06748329355,beleza_saude,490.0,5.0,30.0,25.0,0,PESSOA
243,b72e63f4630dcaded1689b28efa4c583,brinquedos,1000.0,13.0,30.0,30.0,0,PESSOA
244,e791e580a2421e4471aebb0629c705c1,informatica_acessorios,200.0,4.0,16.0,14.0,0,PESSOA
245,aeeb6146e21d11416d01b0e03c2de06e,utilidades_domesticas,500.0,13.0,19.0,20.0,1,CASA
246,e91f30f35875789d4b7d14610aa88c15,cama_mesa_banho,500.0,10.0,16.0,16.0,1,CASA
247,1684f99c7e0e67403e52a7783366870f,automotivo,4200.0,4.0,78.0,47.0,1,CASA
248,ac1290e4432c1f2662b71ac47da47691,telefonia,125.0,3.0,19.0,11.0,0,PESSOA
249,b23cfa104a0f297458ecebea590a33d5,telefonia,100.0,3.0,19.0,11.0,0,PESSOA
250,5b488b474a4f2519b7826390b1873a58,utilidades_domesticas,4100.0,31.0,51.0,31.0,1,CASA
